"LLAVEVIV","P0_1","P0_2","P0_3","P0_4_1","P0_4_1A","P0_4_2","P0_4_2A","P1_1","P1_2","P1_3","FOLIO","VIV_SEL","ENT","TLOC","REGION","EST_DIS","UPM_DIS","FAC_VIV"
"0000101","02","04","01","1","2","1","1","03","1","","00001","01","03","1","1","017","00196",613
"0000210","01","03","01","1","1","1","1","01","1","","00002","10","31","3","6","179","02088",1811
"0000303","02","04","01","1","1","1","1","02","1","","00003","03","09","1","4","050","00763",485
"0000401","01","04","01","1","1","1","1","01","1","","00004","01","03","1","1","017","00182",715
"0000503","03","06","02","2","","1","1","04","1","","00005","03","09","1","4","049","00631",3756
"0000603","02","04","01","2","","1","2","04","1","","00006","03","07","1","6","040","00459",4492
"0000704","01","03","00","1","1","2","","06","1","","00007","04","20","4","6","111","01380",3726
"0000803","01","03","01","2","","2","","03","1","","00008","03","24","2","2","135","01585",1797
"0000904","03","04","01","2","","1","1","04","1","","00009","04","19","1","2","107","01297",3504
"0001004","03","04","01","1","1","1","1","04","1","","00010","04","02","1","1","011","00136",2692
"0001102","03","05","02","1","1","1","1","04","1","","00011","02","22","1","3","127","01481",2049
"0001201","03","05","02","1","1","1","1","05","1","","00012","01","11","4","3","057","00834",19030
"0001303","02","04","01","2","","1","1","05","1","","00013","03","27","1","6","156","01831",1596
"0001408","03","03","00","2","","1","2","02","1","","00014","08","07","4","6","039","00454",3356
"0001504","01","04","01","2","","1","1","02","1","","00015","04","17","1","5","097","01171",1518
"0001609","03","04","01","2","","1","1","06","1","","00016","09","14","4","3","077","00970",8757
"0001704","03","05","01","1","1","1","1","04","1","","00017","04","05","1","2","030","00358",1424
"0001816","02","03","01","2","","2","","02","1","","00018","16","13","4","5","070","00933",2426
"0001904","05","08","02","1","3","1","1","05","1","","00019","04","08","1","1","044","00508",2710
"0002008","01","02","01","2","","2","","01","1","","00020","08","28","4","2","160","01848",1343
"0002105","03","05","02","1","1","1","1","04","1","","00021","05","15","1","5","087","01095",11960
"0002205","03","03","01","1","1","1","1","03","1","","00022","05","11","1","3","059","00861",5503
"0002318","01","03","01","2","","2","","01","1","","00023","18","16","3","3","088","01108",4784
"0002413","02","04","01","1","1","1","1","02","1","","00024","13","02","4","1","008","00063",1922
"0002502","01","05","02","1","1","1","1","02","1","","00025","02","09","1","4","050","00735",2939
"0002601","02","05","02","1","1","1","1","04","2","02","00026","01","32","3","3","186","02143",1518
"0002701","02","05","01","1","1","1","1","01","1","","00027","01","28","1","2","164","01953",2054
"0002805","02","03","00","2","","2","","04","1","","00028","05","11","2","3","056","00829",19751
"0002920","02","02","01","1","1","1","1","06","1","","00029","20","27","2","6","153","01812",2385
"0003001","03","05","02","2","","2","","05","1","","00030","01","09","1","4","050","00736",2891
"0003102","03","04","00","2","","1","1","07","1","","00031","02","21","1","5","120","01419",6156
"0003209","02","03","01","2","","2","","02","1","","00032","09","16","4","3","089","01113",3018
"0003316","02","03","01","2","","2","","04","1","","00033","16","27","3","6","153","01811",2396
"0003403","03","04","01","1","2","1","1","04","1","","00034","03","05","1","2","030","00356",1435
"0003504","02","02","01","1","2","1","1","06","1","","00035","04","26","1","1","151","01773",2173
"0003603","03","07","03","1","2","1","1","01","1","","00036","03","22","1","3","127","01494",1700
"0003704","02","03","01","1","2","1","1","05","1","","00037","04","02","1","1","011","00137",2455
"0003804","02","03","01","1","1","1","1","03","1","","00038","04","28","1","2","164","01958",1911
"0003903","02","06","01","2","","1","1","03","1","","00039","03","09","1","4","049","00612",4271
"0004014","02","04","01","2","","2","","02","1","","00040","14","12","4","6","063","00888",2579
"0004102","02","04","01","1","1","1","1","03","1","","00041","02","13","4","5","071","00934",2679
"0004215","03","04","01","2","","1","2","05","1","","00042","15","21","2","5","116","01407",6595
"0004315","03","05","02","1","2","1","1","03","1","","00043","15","08","4","1","043","00482",3070
"0004405","01","02","00","2","","2","","01","1","","00044","05","15","3","5","085","01027",15661
